show route
DESTINATION      MASK              GATEWAY         FLAGS  METRIC INTERFACE
0.0.0.0          0.0.0.0           192.168.1.1     UG     1      ETH1
100.66.109.96    255.255.255.255   172.31.255.2    UGH    0      ETH1
100.66.136.16    255.255.255.255   172.31.255.2    UGH    0      ETH1
100.73.55.105    255.255.255.255   172.31.255.2    UGH    0      ETH1
100.74.68.125    255.255.255.255   172.31.255.2    UGH    0      ETH1
100.76.237.6     255.255.255.255   172.31.255.2    UGH    0      ETH1
100.77.16.6      255.255.255.255   172.31.255.2    UGH    0      ETH1
100.78.238.113   255.255.255.255   172.31.255.2    UGH    0      ETH1
100.84.4.14      255.255.255.255   172.31.255.2    UGH    0      ETH1
100.97.45.120    255.255.255.255   172.31.255.2    UGH    0      ETH1
100.98.239.71    255.255.255.255   172.31.255.2    UGH    0      ETH1
100.100.100.100  255.255.255.255   172.31.255.2    UGH    0      ETH1
100.106.64.124   255.255.255.255   172.31.255.2    UGH    0      ETH1
100.106.67.24    255.255.255.255   172.31.255.2    UGH    0      ETH1
100.113.131.18   255.255.255.255   172.31.255.2    UGH    0      ETH1
100.115.62.59    255.255.255.255   172.31.255.2    UGH    0      ETH1
100.121.167.39   255.255.255.255   172.31.255.2    UGH    0      ETH1
100.121.249.125  255.255.255.255   172.31.255.2    UGH    0      ETH1
100.124.59.26    255.255.255.255   172.31.255.2    UGH    0      ETH1
100.125.188.6    255.255.255.255   172.31.255.2    UGH    0      ETH1
172.16.0.0       255.255.0.0       0.0.0.0         U      0      VLAN200
172.21.0.0       255.255.0.0       0.0.0.0         U      0      VLAN1
172.22.0.0       255.255.0.0       172.31.255.2    UG     0      ETH1
172.23.0.0       255.255.0.0       0.0.0.0         U      0      VLAN100
172.31.255.0     255.255.255.252   0.0.0.0         U      0      ETH1
192.168.1.0      255.255.255.0     0.0.0.0         U      0      ETH1
192.168.21.0     255.255.255.0     0.0.0.0         U      0      VLAN30
192.168.22.0     255.255.255.0     172.31.255.2    UG     0      ETH1
NSE-Caravan(config)# 
